smiles
Cn4c(CCC(=O)Nc3ccc2ccn(CC[C@H](CO)n1cnc(C(N)=O)c1)c2c3)nc5ccccc45
OCCCCCn1cnc2C(O)CN=CNc12
Nc4nc(c1ccco1)c3ncn(C(=O)NCCc2ccccc2)c3n4
